muster,horizont,n,n_unabhaengig,n_cluster,E[R],median_R,anteil_positiv,anteil_positiv_ki,mae_R_median,mae_R_p90,mfe_R_median,basis_E[R],basis_anteil_positiv,kante_R,t,p,t_ueberschneidend,p_ueberschneidend,hinweis
order_block [long],60,63861,19064,56657,0.0927,0.1943,0.514,"(0.5101, 0.5179)",3.387,9.913,3.464,-0.2039,0.5158,0.2965,6.332,0.0,11.394,0.0,
displacement [long],60,64001,19071,56761,0.0917,0.1928,0.5139,"(0.51, 0.5178)",3.389,9.918,3.464,-0.2039,0.5158,0.2955,6.26,0.0,11.368,0.0,
choch_bullish [long],60,29761,16036,29737,0.0753,0.2239,0.5169,"(0.5112, 0.5225)",3.362,10.08,3.435,-0.2039,0.5158,0.2792,5.834,0.0,7.261,0.0,
bos_bullish [long],60,29842,13287,29779,0.071,0.1369,0.5092,"(0.5035, 0.5149)",3.359,9.57,3.41,-0.2039,0.5158,0.2748,5.07,0.0,7.177,0.0,
equal_lows [long],60,29263,13684,29263,0.0687,0.2361,0.5142,"(0.5085, 0.5199)",3.559,10.718,3.671,-0.2039,0.5158,0.2725,1.788,0.07383,4.546,1e-05,
fair_value_gap [long],60,181980,23469,128266,0.0571,0.2049,0.5141,"(0.5118, 0.5164)",3.342,9.903,3.411,-0.2039,0.5158,0.2609,3.955,8e-05,15.134,0.0,
fehlausbruch [long],60,73304,17849,58049,0.0495,0.2563,0.5195,"(0.5159, 0.5231)",3.254,9.427,3.295,-0.2039,0.5158,0.2534,5.843,0.0,11.07,0.0,
ausbruch [long],60,122392,22023,94694,0.0349,0.2291,0.5175,"(0.5147, 0.5203)",3.28,9.646,3.279,-0.2039,0.5158,0.2388,5.98,0.0,13.386,0.0,
ausbruch_retest [long],60,56920,17635,49039,0.0255,0.2315,0.5164,"(0.5123, 0.5205)",3.24,9.609,3.276,-0.2039,0.5158,0.2293,6.006,0.0,8.825,0.0,
liquidity_sweep [long],60,113046,21271,85419,0.0164,0.2429,0.5173,"(0.5144, 0.5202)",3.323,9.836,3.346,-0.2039,0.5158,0.2202,6.211,0.0,11.625,0.0,
fehlausbruch [short],60,68641,17202,54179,-0.0126,-0.2394,0.4766,"(0.4729, 0.4803)",3.373,8.836,3.302,-0.1203,0.4732,0.1077,0.816,0.41439,4.503,1e-05,
displacement [short],60,66140,18951,57659,-0.0168,-0.3286,0.4712,"(0.4674, 0.475)",3.549,9.431,3.54,-0.1203,0.4732,0.1035,1.475,0.14033,3.744,0.00018,
fair_value_gap [short],60,172718,23230,122769,-0.0245,-0.2833,0.4732,"(0.4708, 0.4755)",3.521,9.478,3.471,-0.1203,0.4732,0.0958,1.169,0.24235,5.4,0.0,
order_block [short],60,65988,18938,57557,-0.0296,-0.3287,0.4712,"(0.4674, 0.475)",3.549,9.43,3.537,-0.1203,0.4732,0.0908,1.397,0.16252,3.403,0.00067,
ausbruch_retest [short],60,59084,17946,51246,-0.0527,-0.2695,0.4737,"(0.4697, 0.4778)",3.332,8.873,3.255,-0.1203,0.4732,0.0677,0.575,0.56547,2.665,0.00771,
ausbruch [short],60,127053,22248,97737,-0.064,-0.2742,0.4741,"(0.4714, 0.4769)",3.383,9.045,3.264,-0.1203,0.4732,0.0563,0.891,0.3729,3.174,0.00151,
liquidity_sweep [short],60,112673,21307,85816,-0.0747,-0.2595,0.4735,"(0.4706, 0.4764)",3.341,9.025,3.247,-0.1203,0.4732,0.0456,1.462,0.14367,2.218,0.02656,
bos_bearish [short],60,28589,13020,28536,-0.0932,-0.4384,0.4623,"(0.4565, 0.4681)",3.623,9.343,3.448,-0.1203,0.4732,0.0271,-0.356,0.72196,0.676,0.49916,
choch_bearish [short],60,28041,15529,28011,-0.0958,-0.282,0.4744,"(0.4686, 0.4803)",3.572,9.693,3.461,-0.1203,0.4732,0.0245,0.652,0.5144,0.61,0.54176,
equal_highs [short],60,30991,14243,30991,-0.1481,-0.2909,0.4732,"(0.4676, 0.4788)",3.758,10.408,3.552,-0.1203,0.4732,-0.0277,1.189,0.23433,-0.664,0.50675,
niveau_test [short],60,70825,17615,51154,-0.8781,-0.2154,0.4756,"(0.4719, 0.4793)",3.271,8.935,3.218,-0.1203,0.4732,-0.7578,1.768,0.07716,-3.164,0.00156,
niveau_test [long],60,69077,17440,49933,-3.0351,0.2232,0.5165,"(0.5127, 0.5202)",3.279,9.715,3.322,-0.2039,0.5158,-2.8312,-0.422,0.67308,-5.75,0.0,
